text,label,notes the show mentioned
"I think if nothing else the first season showed that this show has a hell of a lot of potential. With a more focused story in season 2, I really hope people keep coming back to it and it manages to break the notorious netflix 3 season wall.",critique,The Witcher
"Show pretty much had a built in audience with the one-two punch of GOT being over and The Witcher being such a massively beloved IP, although there is definitely room for improvement next season",critique,The Witcher
"Having read several of the books and played Witcher 3, I followed the first season pretty easily, but my wife was really confused about the lack of a coherent timeline. I can see how people had trouble finding coherence but I think that's just kind of how the story is told. I find it's pretty true to the books. You sometimes read for a half hour before you realize where you are in the timeline.In general I enjoyed the season and Cavill is really good. It's not top, top quality but it's entertaining.",critique,The Witcher
"The timeskipping was a bit confusing the first time it was really significant, but ultimately I liked how they did weaved the stories based on journey beats rather than chronologically.",critique,The Witcher
I tried. I really did. My body wanted it. My mind said nah.,surface_opinion,The Witcher
Am I the only one who felt that the whole Yennefer and Geralt relationship was too soon and weakly established?,critique,The Witcher
"Too much Yennefer, too little witchering with Geralt. Felt more like adventures of Yennefer. I would like more sidequesting with Geralt personally.",critique,The Witcher
I'm with the critics on this one. The quality of the show was somewhere around the mediocre-mark.,critique,The Witcher
I thought it was bang average 6/10 for most episodes and 4/10 for some of the worse episodes,critique,The Witcher
"The reviews aren’t exactly wrong. The show is coasting on a lot of goodwill that comes from the game and the books. By itself, its a fairly clumsy adaptation, simplifying a lot of the sources complexity. The one thing I loved about the witcher was that its politics (kings, mages, spies, wars and merchants) existed in a world filled with monsters. The show hasn’t come close to capturing that.",critique,The Witcher
"I didn't enjoy it, felt kinda cringey to me. Just a bit predictable and the acting kinda felt rigid, like the whole thing was a cutscene or something. I get why people liked it, but it wasn't for me.",critique,The Witcher
I gave it 5 episodes. It’s alright at best. Some good sword fights. Some nice tits. Also sprinkle in your typical nonsensical fantasy names and places. And that’s about it. A horse named roach is pretty funny as well. But again.. it’s just alright. Also the use of fuck makes it alright as well.,surface_opinion,The Witcher
I thought the monster of the week stuff was fun but the writers had no idea what they were doing with the big Nilfgaard conflict. Who are these people exactly? Why should we care they are taking over the continent? There's no real sense of place.,critique,The Witcher
"I loved the witcher 3, but I'm disappointed to admit this is not a good show. The writing is terrible, and I feel like I'm going insane with how much everyone loves it. We should expect more from the shows we're rooting for, not give them a free pass because we're starved for fantasy epics.",critique,The Witcher
"Bloody good. When you look at it, black mirror was sort of one of the first Netflix backed and made shows, and it is really quite popular. This is what people want. Something a bit different. Sick to death of reality tv and all that trashy shit. Give is good content and we will watch.",critique,black mirror
I only hope they take a much longer time working on the episodes... last season had a noticeable large drop in quality.,critique,black mirror
"South Park again thinking it's clever when really it's just a dumb cartoon with a poop character. America knows real comedy isn't South Park, but the hilarious Rush Hour Trilogy, starring Chinese treasure Jackie Chan, beloved by China and we Americans alike",critique,south park
